codec,image,size,quality,tile,encode_ms,decode_ms,bytes,bpp,psnr,ms_ssim_proxy,lpips,lpips_status,constraint_status
CAPS,kodak_05,512,20,32,10.058,6.07742,142003,4.333587646484375,30.013645717860374,0.9890826240824981,,unavailable,unverified_lpips
CAPS,kodak_05,1024,100,32,71.0127,33.6747,1946810,14.852981567382812,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_05,1024,90,32,52.4014,26.6349,1233782,9.413009643554688,40.853514086331124,0.9992151937003886,,unavailable,unverified_lpips
CAPS,kodak_05,1024,82,32,40.0709,22.6005,720901,5.500038146972656,37.18152890953533,0.9980125648944389,,unavailable,unverified_lpips
CAPS,kodak_05,1024,82,64,39.5531,23.6277,662866,5.0572662353515625,37.18152890953533,0.9980125648944389,,unavailable,unverified_lpips
CAPS,kodak_05,1024,70,32,36.182,22.373,559066,4.2653350830078125,34.90363302179936,0.9964046823055475,,unavailable,unverified_lpips
CAPS,kodak_05,1024,50,32,33.779,21.3912,425291,3.2447128295898438,32.19138151138757,0.9930698733780311,,unavailable,unverified_lpips
CAPS,kodak_05,1024,35,32,32.5747,21.3216,380419,2.9023666381835938,30.811127281686346,0.9903802769069692,,unavailable,unverified_lpips
CAPS,kodak_05,1024,20,32,32.3003,20.5915,343364,2.619659423828125,29.148446625150115,0.9858432690623429,,unavailable,unverified_lpips
CAPS,kodak_06,512,100,32,19.9842,9.61671,539604,16.4674072265625,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_06,512,90,32,14.8817,7.78296,359347,10.966400146484375,42.26118316848666,0.999657532676452,,unavailable,unverified_lpips
CAPS,kodak_06,512,82,32,12.0583,6.63408,221721,6.766387939453125,38.75761606968927,0.999168903183986,,unavailable,unverified_lpips
CAPS,kodak_06,512,82,64,11.9539,6.96325,211998,6.46966552734375,38.75761606968927,0.999168903183986,,unavailable,unverified_lpips
CAPS,kodak_06,512,70,32,10.8481,6.52671,177489,5.416534423828125,36.43416275154727,0.9984443499857757,,unavailable,unverified_lpips
CAPS,kodak_06,512,50,32,10.3978,6.60542,138224,4.21826171875,34.016342708731415,0.9971185069579552,,unavailable,unverified_lpips
CAPS,kodak_06,512,35,32,9.72621,6.51858,124528,3.80029296875,32.65618845944001,0.9960597381419656,,unavailable,unverified_lpips
