profile,category,sample,source_width,source_height,width,height,quality,tile,layer,prefix_bytes,full_bytes,fraction_of_full,decode_ms,psnr,ssim_windowed,ms_ssim_windowed,ms_ssim_luma,legacy_ms_ssim_proxy
chat_preview,photo,kodak_01,768,512,512,341,26,64,2,11372,14963,0.7600080197821293,5.04875,24.339838453618164,0.7563505386256669,0.9481733407307212,0.9549739101940912,0.9638162577498236
chat_preview,photo,kodak_01,768,512,512,341,26,64,3,14963,14963,1.0,5.61746,26.365809541193883,0.8345708178008686,0.9636273381959034,0.9703597981319981,0.9777529680124301
chat_preview,photo,kodak_01,768,512,512,341,27,64,0,2983,15218,0.19601787357077147,4.36163,20.37698567022752,0.36098922189597715,0.7432593183391022,0.7489943171355989,0.8471775195721706
chat_preview,photo,kodak_01,768,512,512,341,27,64,1,6027,15218,0.3960441582336707,5.81583,21.84006094008447,0.5579488264412878,0.8695067457335216,0.8758402422806515,0.915967697037063
chat_preview,photo,kodak_01,768,512,512,341,27,64,2,11467,15218,0.7535155736627678,5.21242,24.346043246229865,0.7568851939090755,0.9483296143091501,0.9551261885946866,0.9638791986837679
chat_preview,photo,kodak_01,768,512,512,341,27,64,3,15218,15218,1.0,5.56421,26.421226860013913,0.8373523267817043,0.9640562726277665,0.9708345870233626,0.9780513982136597
chat_preview,photo,kodak_01,768,512,512,341,28,64,0,2983,15376,0.19400364203954215,4.42046,20.37698567022752,0.36098922189597715,0.7432593183391022,0.7489943171355989,0.8471775195721706
chat_preview,photo,kodak_01,768,512,512,341,28,64,1,6027,15376,0.39197450572320497,4.99538,21.84006094008447,0.5579488264412878,0.8695067457335216,0.8758402422806515,0.915967697037063
chat_preview,photo,kodak_01,768,512,512,341,28,64,2,11620,15376,0.7557232049947971,7.72833,24.3689833350048,0.7589272189425592,0.948967448707259,0.9557794209025847,0.9639929602540711
chat_preview,photo,kodak_01,768,512,512,341,28,64,3,15376,15376,1.0,5.88742,26.49526260923878,0.8394380948067776,0.9647271154532846,0.9714914213567841,0.9784538277347399
chat_preview,photo,kodak_01,768,512,512,341,29,64,0,3130,15844,0.19755112345367332,5.02954,20.3841033674923,0.36090595511370727,0.7429233467755926,0.7495602550670973,0.8475689749685033
chat_preview,photo,kodak_01,768,512,512,341,29,64,1,6313,15844,0.398447361777329,4.65337,21.845466659284874,0.5601587158237384,0.8698903991192862,0.8767637867002083,0.915982902169266
chat_preview,photo,kodak_01,768,512,512,341,29,64,2,11907,15844,0.7515147689977278,5.34733,24.382201695331702,0.7604385140601974,0.949403995294649,0.9563625251477367,0.9641815107258057
chat_preview,photo,kodak_01,768,512,512,341,29,64,3,15844,15844,1.0,6.01958,26.56343979847954,0.8428544624545271,0.9654477020397487,0.9724514160110782,0.9787586634904638
chat_preview,photo,kodak_01,768,512,512,341,30,64,0,3130,15846,0.19752618957465606,4.44571,20.3841033674923,0.36090595511370727,0.7429233467755926,0.7495602550670973,0.8475689749685033
chat_preview,photo,kodak_01,768,512,512,341,30,64,1,6313,15846,0.39839707181623124,5.05204,21.845466659284874,0.5601587158237384,0.8698903991192862,0.8767637867002083,0.915982902169266
chat_preview,photo,kodak_01,768,512,512,341,30,64,2,11908,15846,0.7514830241070302,5.44004,24.38233341948848,0.7604386447548106,0.9494041526965814,0.9563618929469673,0.9641830049020536
chat_preview,photo,kodak_01,768,512,512,341,30,64,3,15846,15846,1.0,4.95325,26.605981062442048,0.8433318911540866,0.9655608610686587,0.9725347389818766,0.9788927916224544
chat_preview,photo,kodak_01,768,512,512,341,31,64,0,3130,16164,0.19364018807225933,6.27329,20.3841033674923,0.36090595511370727,0.7429233467755926,0.7495602550670973,0.8475689749685033
chat_preview,photo,kodak_01,768,512,512,341,31,64,1,6345,16164,0.3925389755011136,3.69358,21.846135532714555,0.5605295591952636,0.8699556986091004,0.8768039362209278,0.9160142264998223
chat_preview,photo,kodak_01,768,512,512,341,31,64,2,12023,16164,0.743813412521653,4.44517,24.402906341542547,0.7613956675164238,0.950014296146796,0.9568438679703235,0.9644413087434961
chat_preview,photo,kodak_01,768,512,512,341,31,64,3,16164,16164,1.0,5.89658,26.695955318030933,0.8467448970956056,0.9665012386572179,0.9734037547747965,0.9794304827125814
chat_preview,photo,kodak_01,768,512,512,341,32,64,0,3130,16217,0.19300733797866437,6.14817,20.3841033674923,0.36090595511370727,0.7429233467755926,0.7495602550670973,0.8475689749685033
chat_preview,photo,kodak_01,768,512,512,341,32,64,1,6382,16217,0.3935376456804588,4.39612,21.84820896732617,0.5604698792616799,0.8699745337488803,0.8768756147665847,0.9161843448675862
chat_preview,photo,kodak_01,768,512,512,341,32,64,2,12067,16217,0.744095702041068,5.68929,24.406526503872502,0.7614276201255366,0.9501032141265583,0.9568766034833102,0.9645738465020134
chat_preview,photo,kodak_01,768,512,512,341,32,64,3,16217,16217,1.0,4.81908,26.74619566010406,0.8473444334370909,0.9666950233976869,0.9734742309822242,0.9796206307328189
chat_preview,photo,kodak_01,768,512,512,341,33,64,0,3130,16612,0.18841801107633036,4.33179,20.3841033674923,0.36090595511370727,0.7429233467755926,0.7495602550670973,0.8475689749685033
chat_preview,photo,kodak_01,768,512,512,341,33,64,1,6382,16612,0.38418011076330366,4.79488,21.848214509726212,0.5604720832343442,0.8699752726120439,0.8768757934744524,0.9161844558891854
chat_preview,photo,kodak_01,768,512,512,341,33,64,2,12249,16612,0.7373585359980737,4.78354,24.42403685745029,0.7636758557645437,0.9506868427489676,0.9574868445841813,0.9646507871286507
chat_preview,photo,kodak_01,768,512,512,341,33,64,3,16612,16612,1.0,5.33625,26.827080104748553,0.8512600051293416,0.9675568855355685,0.974364630402853,0.9801652385446188
chat_preview,photo,kodak_01,768,512,512,341,34,64,0,3130,16683,0.1876161361865372,4.40796,20.3841033674923,0.36090595511370727,0.7429233467755926,0.7495602550670973,0.8475689749685033
chat_preview,photo,kodak_01,768,512,512,341,34,64,1,6382,16683,0.3825451057963196,4.21996,21.848214509726212,0.5604720832343442,0.8699752726120439,0.8768757934744524,0.9161844558891854
chat_preview,photo,kodak_01,768,512,512,341,34,64,2,12311,16683,0.7379368219145238,4.25367,24.427468769864813,0.7642743144487918,0.9507752701293644,0.9575755178081593,0.9646863613108855
chat_preview,photo,kodak_01,768,512,512,341,34,64,3,16683,16683,1.0,4.27433,26.880040944942852,0.8522172153633777,0.9677417203761346,0.9745169001153845,0.9803366997593195
chat_preview,photo,kodak_01,768,512,512,341,35,64,0,3320,17180,0.19324796274738068,3.49342,20.398848979920796,0.3614728715410395,0.7435077199466669,0.7504343108184202,0.8480353301949195
chat_preview,photo,kodak_01,768,512,512,341,35,64,1,6653,17180,0.38725261932479627,3.60221,21.87363301001743,0.5598339945628923,0.8704725573699587,0.877418573294404,0.9167406233599962
chat_preview,photo,kodak_01,768,512,512,341,35,64,2,12584,17180,0.7324796274738068,4.01037,24.4709027714234,0.7648378104553571,0.9515906468159946,0.9582899603360844,0.9652584708265256
chat_preview,photo,kodak_01,768,512,512,341,35,64,3,17180,17180,1.0,4.08342,27.004690933291343,0.8555345348533422,0.9689865848320013,0.9756622045578028,0.9811678982820695
chat_preview,photo,kodak_01,768,512,512,341,36,64,0,3320,17219,0.1928102677275103,3.10767,20.398848979920796,0.3614728715410395,0.7435077199466669,0.7504343108184202,0.8480353301949195
chat_preview,photo,kodak_01,768,512,512,341,36,64,1,6653,17219,0.3863755154190139,3.39867,21.87363301001743,0.5598339945628923,0.8704725573699587,0.877418573294404,0.9167406233599962
chat_preview,photo,kodak_01,768,512,512,341,36,64,2,12621,17219,0.7329693942737674,3.577,24.493587122959696,0.765014879320189,0.9518830926942963,0.9584843876423979,0.9654098376474131
chat_preview,photo,kodak_01,768,512,512,341,36,64,3,17219,17219,1.0,3.99075,27.098197728066804,0.8566768131322062,0.9695107900415144,0.9760585176944033,0.9815394148762611
chat_preview,photo,kodak_01,768,512,512,341,37,64,0,3320,17258,0.19237455093290068,3.26058,20.398848979920796,0.3614728715410395,0.7435077199466669,0.7504343108184202,0.8480353301949195
chat_preview,photo,kodak_01,768,512,512,341,37,64,1,6657,17258,0.38573415227720476,3.31725,21.873603368725956,0.5598335364618385,0.8704734521331142,0.8774181455052424,0.9167409588079207
chat_preview,photo,kodak_01,768,512,512,341,37,64,2,12648,17258,0.7328775060841349,3.65042,24.493921551321208,0.7650307665529535,0.9518934407569879,0.9584806204117828,0.9654190742231462
