image,size,layer,decode_ms,psnr,ms_ssim
div2k_0805x2,1024,1,18.5407,24.00046742098069,0.9815320389981403
div2k_0805x2,1024,2,19.1931,26.5985694930906,0.9915967565571928
div2k_0805x2,1024,3,21.2873,31.175719441606415,0.9975243494785335
div2k_0805x2,1024,4,26.4693,36.99145355870462,0.9989873507849052
div2k_0806x2,512,0,5.52029,23.097905761920682,0.9765376124998748
div2k_0806x2,512,1,5.76467,25.272132446665324,0.9887325365683816
div2k_0806x2,512,2,6.2115,28.736972520914268,0.9960903750172455
div2k_0806x2,512,3,8.09892,38.948330503337466,0.9993719925189426
div2k_0806x2,1024,0,18.9815,22.49862688346198,0.9674168716889601
div2k_0806x2,1024,1,18.6277,24.326572642741972,0.9818473105937665
div2k_0806x2,1024,2,18.6591,26.774208156957716,0.9915437250366111
div2k_0806x2,1024,3,20.9501,31.092208487644342,0.9973843046424877
div2k_0806x2,1024,4,25.6854,37.95030127179095,0.9991202282029551
div2k_0807x2,512,0,5.67263,19.678146728868768,0.926419578945897
div2k_0807x2,512,1,5.80179,21.399699987010617,0.96181460142514
div2k_0807x2,512,2,7.58246,24.469599265685066,0.985730678352058
div2k_0807x2,512,3,10.1137,37.677813725844366,0.9987692851832977
div2k_0807x2,1024,0,18.902,18.941407592520807,0.896802322816672
div2k_0807x2,1024,1,19.6568,20.330631260148195,0.9375528067930373
div2k_0807x2,1024,2,20.6307,22.452415337217847,0.9688413891544945
div2k_0807x2,1024,3,23.3116,26.939992848399935,0.9916147202488159
div2k_0807x2,1024,4,32.9442,36.43955031477528,0.9982446076291268
div2k_0808x2,512,0,6.14154,22.235606415057948,0.9704368896286855
div2k_0808x2,512,1,7.48167,24.631213828053863,0.9866102242398117
div2k_0808x2,512,2,10.7234,28.428825885751472,0.995745346406628
div2k_0808x2,512,3,8.44071,39.269682172045705,0.9994058082407412
div2k_0808x2,1024,0,19.9642,21.74956397151474,0.9598141202673077
div2k_0808x2,1024,1,19.6979,23.831169791495004,0.9789156807374716
div2k_0808x2,1024,2,19.0272,26.646253757068695,0.9910456517344587
div2k_0808x2,1024,3,21.2276,31.41893554157676,0.9975551598000397
div2k_0808x2,1024,4,25.0624,38.161106896492214,0.9991678853054852
div2k_0809x2,512,0,5.29775,23.150618090965533,0.9616330676113585
div2k_0809x2,512,1,5.25217,25.549555509282197,0.9827374053070489
div2k_0809x2,512,2,6.71296,29.440549793920738,0.9945941001082909
div2k_0809x2,512,3,8.07125,38.11178660610435,0.9988558069732405
div2k_0809x2,1024,0,18.1883,22.80260638157849,0.9489414532344596
div2k_0809x2,1024,1,19.1083,24.951667960800012,0.973700473718219
div2k_0809x2,1024,2,20.0322,27.96276325574302,0.9892806984682893
div2k_0809x2,1024,3,21.8063,32.68677535393009,0.9968529493666338
div2k_0809x2,1024,4,25.7469,37.018214991492904,0.9983511918062613
div2k_0810x2,512,0,5.6215,23.681105298815744,0.9491928753516472
div2k_0810x2,512,1,5.55658,25.497460582985067,0.973841272462914
div2k_0810x2,512,2,6.19496,28.500121680863625,0.9897321113180939
div2k_0810x2,512,3,7.38275,38.50927964604533,0.9982859419196546
div2k_0810x2,1024,0,17.8982,22.811963539678413,0.9269217491417802
div2k_0810x2,1024,1,17.9285,24.241408873555574,0.9562222152556171
div2k_0810x2,1024,2,18.725,26.169411542309227,0.9767732343470008
div2k_0810x2,1024,3,20.7018,30.082071612052342,0.9922086022718261
div2k_0810x2,1024,4,25.7397,37.50158663307133,0.9976411202754247
